,Treat,Day,position,mean_aph,se_aph,mean_con,se_con
7,HCHC,2,Top,103.0769231,6.924928526,128.25,6.457465728
8,HCHC,2,Bottom,21.76923079,8.247885387,43.74999997,6.634534301
9,HCHC,4,Top,99.23076922,13.55716947,201.1666666,10.99230676
10,HCHC,4,Bottom,17.46153847,5.928652057,63.83333337,8.035747159
11,HCHC,6,Top,97.38461539,11.26347538,266.5833333,18.51390073
12,HCHC,6,Bottom,11.15384615,4.523225183,87.16666666,14.40266881
13,C7C7,2,Top,98.72727273,13.14402105,128.25,6.457465728
14,C7C7,2,Bottom,10.45454545,3.284574514,43.74999997,6.634534301
15,C7C7,4,Top,100.6363636,15.60843171,201.1666666,10.99230676
16,C7C7,4,Bottom,12.1818182,6.250553693,63.83333337,8.035747159
17,C7C7,6,Top,112,18.44253976,266.5833333,18.51390073
18,C7C7,6,Bottom,12.0909091,4.019168944,87.16666666,14.40266881
19,PTPT,2,Top,129.1666667,9.916953144,128.25,6.457465728
20,PTPT,2,Bottom,43.91666667,6.108189154,43.74999997,6.634534301
21,PTPT,4,Top,180.9166667,18.29532907,201.1666666,10.99230676
22,PTPT,4,Bottom,56.33333332,5.867647992,63.83333337,8.035747159
23,PTPT,6,Top,235.1666667,25.75756238,266.5833333,18.51390073
24,PTPT,6,Bottom,73.16666668,9.306102047,87.16666666,14.40266881
25,HCC7,2,Top,78.36363636,10.03292102,128.25,6.457465728
26,HCC7,2,Bottom,12.63636364,3.417262935,43.74999997,6.634534301
27,HCC7,4,Top,83.27272728,14.72850725,201.1666666,10.99230676
28,HCC7,4,Bottom,12.9090909,5.05147061,63.83333337,8.035747159
29,HCC7,6,Top,77.36363636,15.26509549,266.5833333,18.51390073
30,HCC7,6,Bottom,5.18181819,1.53633674,87.16666666,14.40266881
31,HCPT,2,Top,107.3333333,8.363279529,128.25,6.457465728
32,HCPT,2,Bottom,35.33333333,8.421953038,43.74999997,6.634534301
33,HCPT,4,Top,140.75,10.77393389,201.1666666,10.99230676
34,HCPT,4,Bottom,30.33333335,6.762567803,63.83333337,8.035747159
35,HCPT,6,Top,171.3333333,17.24569921,266.5833333,18.51390073
36,HCPT,6,Bottom,40.66666666,7.353965474,87.16666666,14.40266881
37,C7PT,2,Top,98.66666666,12.23156208,128.25,6.457465728
38,C7PT,2,Bottom,17.91666668,5.161715612,43.74999997,6.634534301
39,C7PT,4,Top,93.66666668,15.48378103,201.1666666,10.99230676
40,C7PT,4,Bottom,18.16666665,5.670007925,63.83333337,8.035747159
41,C7PT,6,Top,91.24999999,16.93307907,266.5833333,18.51390073
42,C7PT,6,Bottom,13.41666668,6.14528439,87.16666666,14.40266881
