"","Treat","Day","Position","mean_aph","se_aph"
"1","Control",2,"Lower",43.7499999696667,6.63453430134415
"2","Control",2,"Upper",128.250000030333,6.45746572757362
"3","Control",4,"Lower",63.8333333691667,8.03574715888418
"4","Control",4,"Upper",201.166666630833,10.9923067587649
"5","Control",6,"Lower",87.1666666601667,14.4026688145821
"6","Control",6,"Upper",266.583333339833,18.5139007275376
"7","HCHC",2,"Lower",21.7692307851538,8.24788538714358
"8","HCHC",2,"Upper",103.076923061,6.92492852641118
"9","HCHC",4,"Lower",17.4615384674615,5.92865205678933
"10","HCHC",4,"Upper",99.2307692248462,13.5571694726045
"11","HCHC",6,"Lower",11.1538461526923,4.52322518329291
"12","HCHC",6,"Upper",97.3846153857692,11.2634753834888
"13","C7C7",2,"Lower",10.4545454474545,3.28457451382863
"14","C7C7",2,"Upper",98.7272727343636,13.1440210462685
"15","C7C7",4,"Lower",12.181818195,6.25055369305911
"16","C7C7",4,"Upper",100.636363623182,15.6084317077097
"17","C7C7",6,"Lower",12.090909096,4.01916894401511
"18","C7C7",6,"Upper",111.999999994909,18.4425397559545
"19","PTPT",2,"Lower",43.9166666670833,6.10818915398499
"20","PTPT",2,"Upper",129.16666666625,9.91695314378605
"21","PTPT",4,"Lower",56.3333333185833,5.86764799179718
"22","PTPT",4,"Upper",180.916666681417,18.295329066109
"23","PTPT",6,"Lower",73.16666668325,9.30610204652739
"24","PTPT",6,"Upper",235.166666650083,25.7575623844781
"25","HCC7",2,"Lower",12.6363636362727,3.41726293537377
"26","HCC7",2,"Upper",78.3636363637273,10.0329210167006
"27","HCC7",4,"Lower",12.9090908989091,5.05147061030451
"28","HCC7",4,"Upper",83.2727272829091,14.7285072465822
"29","HCC7",6,"Lower",5.18181819,1.53633674028851
"30","HCC7",6,"Upper",77.3636363554545,15.265095494727
"31","HCPT",2,"Lower",35.3333333265,8.42195303789418
"32","HCPT",2,"Upper",107.333333340167,8.36327952934189
"33","HCPT",4,"Lower",30.3333333499167,6.76256780270496
"34","HCPT",4,"Upper",140.749999983417,10.7739338875455
"35","HCPT",6,"Lower",40.66666666425,7.35396547438314
"36","HCPT",6,"Upper",171.33333333575,17.2456992074009
"37","C7PT",2,"Lower",17.916666677,5.16171561228591
"38","C7PT",2,"Upper",98.6666666563333,12.2315620840711
"39","C7PT",4,"Lower",18.1666666488333,5.67000792491964
"40","C7PT",4,"Upper",93.6666666845,15.4837810250679
"41","C7PT",6,"Lower",13.41666667575,6.14528439034319
"42","C7PT",6,"Upper",91.2499999909167,16.9330790654602
