,Treat,Day,host_loc,mean_aph,se_aph,mean_con,se_con
7,HCHC,2,On,86.53846153,8.893685008,116.5833333,6.757104375
8,HCHC,2,Off,38.30769232,5.291968527,55.4166667,8.686857312
9,HCHC,4,On,52.69230769,10.62072515,131.9166666,10.39409677
10,HCHC,4,Off,64,10.07153898,133.0833334,13.61007779
11,HCHC,6,On,45.53846152,9.378518405,145.9166667,13.62120579
12,HCHC,6,Off,63.00000001,9.42446353,207.8333333,20.92078615
13,C7C7,2,On,66.18181819,12.62452029,116.5833333,6.757104375
14,C7C7,2,Off,42.99999999,7.122308101,55.4166667,8.686857312
15,C7C7,4,On,60.0909091,12.2766997,131.9166666,10.39409677
16,C7C7,4,Off,52.72727272,10.35031041,133.0833334,13.61007779
17,C7C7,6,On,63.72727273,11.13152028,145.9166667,13.62120579
18,C7C7,6,Off,60.36363636,11.51700144,207.8333333,20.92078615
19,PTPT,2,On,111.0833333,10.1275639,116.5833333,6.757104375
20,PTPT,2,Off,62,8.387400361,55.4166667,8.686857312
21,PTPT,4,On,112.4166667,15.14548555,131.9166666,10.39409677
22,PTPT,4,Off,124.8333333,11.86210757,133.0833334,13.61007779
23,PTPT,6,On,117.4166666,12.38551105,145.9166667,13.62120579
24,PTPT,6,Off,190.9166667,25.15119684,207.8333333,20.92078615
25,HCC7,2,On,54,8.871814408,116.5833333,6.757104375
26,HCC7,2,Off,37,3.597979235,55.4166667,8.686857312
27,HCC7,4,On,44.09090909,9.517882257,131.9166666,10.39409677
28,HCC7,4,Off,52.09090909,10.13585404,133.0833334,13.61007779
29,HCC7,6,On,30.27272728,9.017247022,145.9166667,13.62120579
30,HCC7,6,Off,52.27272727,13.09273977,207.8333333,20.92078615
31,HCPT,2,On,99.75000002,9.150364291,116.5833333,6.757104375
32,HCPT,2,Off,42.91666665,5.821145278,55.4166667,8.686857312
33,HCPT,4,On,94.25000001,7.318640589,131.9166666,10.39409677
34,HCPT,4,Off,76.83333333,7.631506997,133.0833334,13.61007779
35,HCPT,6,On,101.3333333,9.713574803,145.9166667,13.62120579
36,HCPT,6,Off,110.6666667,16.51736154,207.8333333,20.92078615
37,C7PT,2,On,73.58333334,10.89374183,116.5833333,6.757104375
38,C7PT,2,Off,43,8.794798732,55.4166667,8.686857312
39,C7PT,4,On,49.58333334,13.95254855,131.9166666,10.39409677
40,C7PT,4,Off,62.25,9.808874304,133.0833334,13.61007779
41,C7PT,6,On,48.16666666,12.2349681,145.9166667,13.62120579
42,C7PT,6,Off,56.5,10.60624458,207.8333333,20.92078615
