"","Treat","Day","host_loc","mean_aph","se_aph"
"1","Control",2,"On",116.583333304083,6.7571043754278
"2","Control",2,"Off",55.4166666959167,8.68685731241156
"3","Control",4,"On",131.916666612083,10.3940967674275
"4","Control",4,"Off",133.083333387917,13.6100777850831
"5","Control",6,"On",145.916666665583,13.6212057885035
"6","Control",6,"Off",207.833333334417,20.9207861533092
"7","HCHC",2,"On",86.5384615280769,8.89368500809962
"8","HCHC",2,"Off",38.3076923180769,5.29196852712102
"9","HCHC",4,"On",52.6923076883846,10.6207251522128
"10","HCHC",4,"Off",64.0000000039231,10.0715389782622
"11","HCHC",6,"On",45.5384615246154,9.37851840473908
"12","HCHC",6,"Off",63.0000000138461,9.42446353040987
"13","C7C7",2,"On",66.181818189,12.6245202851247
"14","C7C7",2,"Off",42.9999999928182,7.12230810135183
"15","C7C7",4,"On",60.0909090985455,12.2766996974275
"16","C7C7",4,"Off",52.7272727196364,10.3503104066356
"17","C7C7",6,"On",63.7272727289091,11.1315202844632
"18","C7C7",6,"Off",60.363636362,11.5170014437844
"19","PTPT",2,"On",111.083333335083,10.1275638985362
"20","PTPT",2,"Off",61.99999999825,8.38740036051913
"21","PTPT",4,"On",112.416666670583,15.1454855460172
"22","PTPT",4,"Off",124.833333329417,11.8621075682884
"23","PTPT",6,"On",117.416666642833,12.3855110459998
"24","PTPT",6,"Off",190.9166666905,25.1511968358503
"25","HCC7",2,"On",53.9999999998182,8.87181440765796
"26","HCC7",2,"Off",37.0000000001818,3.59797923461591
"27","HCC7",4,"On",44.0909090897273,9.5178822570806
"28","HCC7",4,"Off",52.0909090920909,10.1358540420317
"29","HCC7",6,"On",30.2727272750909,9.01724702235345
"30","HCC7",6,"Off",52.2727272703636,13.0927397740441
"31","HCPT",2,"On",99.75000001775,9.15036429094182
"32","HCPT",2,"Off",42.9166666489167,5.82114527785709
"33","HCPT",4,"On",94.2500000083333,7.31864058874303
"34","HCPT",4,"Off",76.833333325,7.63150699729931
"35","HCPT",6,"On",101.3333333285,9.71357480334412
"36","HCPT",6,"Off",110.6666666715,16.5173615423703
"37","C7PT",2,"On",73.5833333369167,10.8937418300449
"38","C7PT",2,"Off",42.9999999964167,8.79479873193913
"39","C7PT",4,"On",49.5833333369167,13.9525485500169
"40","C7PT",4,"Off",62.2499999964167,9.8088743037053
"41","C7PT",6,"On",48.1666666645833,12.2349681046231
"42","C7PT",6,"Off",56.5000000020833,10.6062445837921
