"","effect","component","group","term","estimate","std.error","statistic","p.value"
"1","fixed","cond",NA,"(Intercept)",4.82608166608303,0.148387878295398,32.5234225431518,4.97556822410861e-232
"2","fixed","cond",NA,"HC",-0.0258091952484847,0.108043705513521,-0.238877361025486,0.811200680715581
"3","fixed","cond",NA,"C7",-0.0512571338134634,0.111519049038821,-0.459626711806163,0.645784182517088
"4","fixed","cond",NA,"PT",0.0280203177557681,0.103454227387908,0.270847489399387,0.786508333216136
"5","fixed","cond",NA,"Day",0.173305835080298,0.021082172930881,8.2204920549931,2.02669914183042e-16
"6","fixed","cond",NA,"HC:C7",-0.276844201354754,0.156898808664586,-1.76447612133617,0.0776518521491492
"7","fixed","cond",NA,"HC:PT",0.0669493342404461,0.144021040436665,0.464858009895353,0.642033142278273
"8","fixed","cond",NA,"HC:Day",-0.0904427290762348,0.0163704986786536,-5.52473879089391,3.29976164901682e-08
"9","fixed","cond",NA,"C7:PT",-0.430842843821854,0.149817899974531,-2.87577681902561,0.00403034570963855
"10","fixed","cond",NA,"C7:Day",-0.0980725896855323,0.017422568687164,-5.62905455828605,1.81200081125549e-08
"11","fixed","cond",NA,"PT:Day",-0.0209881870113688,0.0144595268398648,-1.45151271157121,0.146637145214113
"12","ran_pars","cond","cage","sd__(Intercept)",0.379430808027732,NA,NA,NA
