"","effect","group","term","estimate","std.error","statistic","p.value"
"1","fixed",NA,"(Intercept)",1.15799693099215,0.232165293040856,4.9878124151329,6.10668185513773e-07
"2","fixed",NA,"HC",0.180961806845397,0.167663184878383,1.07931748389881,0.280446221392974
"3","fixed",NA,"C7",0.659788532324664,0.178962638552384,3.68673896217471,0.000227146144476427
"4","fixed",NA,"PT",-0.00665773250729787,0.16381316142704,-0.0406422319751341,0.967581115706391
"5","fixed",NA,"Day",0.0111909081850878,0.0154346031836555,0.725053184194491,0.468419403492034
"6","fixed",NA,"HC:C7",-0.213734023681975,0.295678735461535,-0.722858961596781,0.469766538563714
"7","fixed",NA,"HC:PT",-0.155411434753464,0.274182750601425,-0.56681696573751,0.570838542711153
"8","fixed",NA,"HC:Day",0.0789748019613062,0.0138489423285655,5.7025872508985,1.18002475177026e-08
"9","fixed",NA,"C7:PT",0.0701521215346138,0.284488738242509,0.24659015315683,0.805225425908109
"10","fixed",NA,"C7:Day",0.0261466730637228,0.015870028217559,1.64755050875041,0.0994449434298349
"11","fixed",NA,"PT:Day",-0.00863372794374368,0.0107467248820948,-0.803382243284966,0.421753835045134
"12","ran_pars","cage","sd__(Intercept)",0.763294141018996,NA,NA,NA
